,Sequence Title,Query Title,Pident,Bitscore,Subject Sequence Length,e-value,Query Sequence Length,Start of Alignment in Subject,End of Alignment in Query,Start of Alignment in Query,End of Alignment in Query,mobileOG ID,Gene Name,Best Hit Accession ID,Major mobileOG Category,Minor mobileOG Category,Source Database,Evidence Type,Contig/ORF Name,ORF_Start_Stop_Strands,ORF_Start,ORF_End,Sense or Antisense Strand,Prodigal ID,Prodigal Designated Contigs,Unique_ORF,Partial Tag,Start Codon,RBS Motif,RBS Spacer,GC Content,Specific Contig,Final Sample Name
10,mobileOG_000003237|fis|WP_000462905.1|integration/excision|replication/recombination/repair|Multiple|Manual,ratio1_Esch_coli_2011C-3911_NODE_5_length_126126_cov_91.424935_3567-14724_ratio1_Esch_coli_2011C-3911_NODE_5_length_126126_cov_91.424935_9_9 # 8455 # 8751 # -1 # ID=62_9;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.471,100.0,189.0,98,1.9899999999999996e-63,99,1,98,1,98,mobileOG_000003237,fis,WP_000462905.1,integration/excision,replication/recombination/repair,Multiple,Manual,ratio1_Esch_coli_2011C-3911_NODE_5_length_126126_cov_91.424935_3567-14724_ratio1_Esch_coli_2011C-3911_NODE_5_length_126126_cov_91.424935_9_9, 8455 # 8751 # -1 , 8455,8751,-1 ,62_9,62,9,00,ATG,GGA/GAG/AGG,11-12bp,0.471,ratio1_Esch_coli_2011C-3911_NODE_5_length_126126_cov_91.424935_3567-14724_ratio1_Esch_coli_2011C-3911_NODE_5_length_126126_cov_91.424935_9,mobileOG_000003237_ratio1_Esch_coli_2011C-3911_NODE_5_length_126126_cov_91.424935_3567-14724_ratio1_Esch_coli_2011C-3911_NODE_5_length_126126_cov_91.424935_9
11,mobileOG_000003237|fis|WP_000462905.1|integration/excision|replication/recombination/repair|Multiple|Manual,ratio1_Esch_coli_2011C-3911_NODE_5_length_126126_cov_91.424935_5123-15785_ratio1_Esch_coli_2011C-3911_NODE_5_length_126126_cov_91.424935_10_8 # 6899 # 7195 # -1 # ID=63_8;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.471,100.0,189.0,98,1.9899999999999996e-63,99,1,98,1,98,mobileOG_000003237,fis,WP_000462905.1,integration/excision,replication/recombination/repair,Multiple,Manual,ratio1_Esch_coli_2011C-3911_NODE_5_length_126126_cov_91.424935_5123-15785_ratio1_Esch_coli_2011C-3911_NODE_5_length_126126_cov_91.424935_10_8, 6899 # 7195 # -1 , 6899,7195,-1 ,63_8,63,8,00,ATG,GGA/GAG/AGG,11-12bp,0.471,ratio1_Esch_coli_2011C-3911_NODE_5_length_126126_cov_91.424935_5123-15785_ratio1_Esch_coli_2011C-3911_NODE_5_length_126126_cov_91.424935_10,mobileOG_000003237_ratio1_Esch_coli_2011C-3911_NODE_5_length_126126_cov_91.424935_5123-15785_ratio1_Esch_coli_2011C-3911_NODE_5_length_126126_cov_91.424935_10
12,mobileOG_000026107|parE|P20083|replication/recombination/repair|partitioning|Multiple|Manual,ratio1_Esch_coli_2011C-3911_NODE_10_length_99450_cov_68.667468_67985-79466_ratio1_Esch_coli_2011C-3911_NODE_10_length_99450_cov_68.667468_69_2 # 390 # 2282 # -1 # ID=73_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.540,100.0,1255.0,630,0.0,631,1,630,1,630,mobileOG_000026107,parE,P20083,replication/recombination/repair,partitioning,Multiple,Manual,ratio1_Esch_coli_2011C-3911_NODE_10_length_99450_cov_68.667468_67985-79466_ratio1_Esch_coli_2011C-3911_NODE_10_length_99450_cov_68.667468_69_2, 390 # 2282 # -1 , 390,2282,-1 ,73_2,73,2,00,ATG,None,None,0.540,ratio1_Esch_coli_2011C-3911_NODE_10_length_99450_cov_68.667468_67985-79466_ratio1_Esch_coli_2011C-3911_NODE_10_length_99450_cov_68.667468_69,mobileOG_000026107_ratio1_Esch_coli_2011C-3911_NODE_10_length_99450_cov_68.667468_67985-79466_ratio1_Esch_coli_2011C-3911_NODE_10_length_99450_cov_68.667468_69
13,"mobileOG_000337943|cca|WP_000708503.1|phage|regulation,infection|Plasmid RefSeq|Homology",ratio1_Esch_coli_2011C-3911_NODE_10_length_99450_cov_68.667468_91823-99450_ratio1_Esch_coli_2011C-3911_NODE_10_length_99450_cov_68.667468_89_4 # 3600 # 4838 # 1 # ID=74_4;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.563,99.8,842.0,412,1.52e-311,413,1,412,1,412,mobileOG_000337943,cca,WP_000708503.1,phage,"regulation,infection",Plasmid RefSeq,Homology,ratio1_Esch_coli_2011C-3911_NODE_10_length_99450_cov_68.667468_91823-99450_ratio1_Esch_coli_2011C-3911_NODE_10_length_99450_cov_68.667468_89_4, 3600 # 4838 # 1 , 3600,4838,1 ,74_4,74,4,00,GTG,GGA/GAG/AGG,5-10bp,0.563,ratio1_Esch_coli_2011C-3911_NODE_10_length_99450_cov_68.667468_91823-99450_ratio1_Esch_coli_2011C-3911_NODE_10_length_99450_cov_68.667468_89,mobileOG_000337943_ratio1_Esch_coli_2011C-3911_NODE_10_length_99450_cov_68.667468_91823-99450_ratio1_Esch_coli_2011C-3911_NODE_10_length_99450_cov_68.667468_89
14,mobileOG_000026116|priC|F0JM94|replication/recombination/repair|NA|Plasmid RefSeq|Manual,ratio1_Esch_coli_2011C-3911_NODE_11_length_93882_cov_68.863398_4612-15805_ratio1_Esch_coli_2011C-3911_NODE_11_length_93882_cov_68.863398_11_9 # 10860 # 11192 # -1 # ID=76_9;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.610,96.4,197.0,175,3.479999999999999e-65,111,66,175,1,110,mobileOG_000026116,priC,F0JM94,replication/recombination/repair,NA,Plasmid RefSeq,Manual,ratio1_Esch_coli_2011C-3911_NODE_11_length_93882_cov_68.863398_4612-15805_ratio1_Esch_coli_2011C-3911_NODE_11_length_93882_cov_68.863398_11_9, 10860 # 11192 # -1 , 10860,11192,-1 ,76_9,76,9,01,Edge,None,None,0.610,ratio1_Esch_coli_2011C-3911_NODE_11_length_93882_cov_68.863398_4612-15805_ratio1_Esch_coli_2011C-3911_NODE_11_length_93882_cov_68.863398_11,mobileOG_000026116_ratio1_Esch_coli_2011C-3911_NODE_11_length_93882_cov_68.863398_4612-15805_ratio1_Esch_coli_2011C-3911_NODE_11_length_93882_cov_68.863398_11
15,mobileOG_000002433|dinI|WP_001217754.1|replication/recombination/repair|NA|Multiple|Manual,ratio1_Esch_coli_2011C-3911_NODE_15_length_78302_cov_82.153041_13806-25014_ratio1_Esch_coli_2011C-3911_NODE_15_length_78302_cov_82.153041_20_4 # 2125 # 2370 # -1 # ID=78_4;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.480,100.0,162.0,81,3.9799999999999997e-53,82,1,81,1,81,mobileOG_000002433,dinI,WP_001217754.1,replication/recombination/repair,NA,Multiple,Manual,ratio1_Esch_coli_2011C-3911_NODE_15_length_78302_cov_82.153041_13806-25014_ratio1_Esch_coli_2011C-3911_NODE_15_length_78302_cov_82.153041_20_4, 2125 # 2370 # -1 , 2125,2370,-1 ,78_4,78,4,00,ATG,AGxAGG/AGGxGG,5-10bp,0.480,ratio1_Esch_coli_2011C-3911_NODE_15_length_78302_cov_82.153041_13806-25014_ratio1_Esch_coli_2011C-3911_NODE_15_length_78302_cov_82.153041_20,mobileOG_000002433_ratio1_Esch_coli_2011C-3911_NODE_15_length_78302_cov_82.153041_13806-25014_ratio1_Esch_coli_2011C-3911_NODE_15_length_78302_cov_82.153041_20
16,mobileOG_000329392|PSLT051|A0A086TQA6|replication/recombination/repair|NA|Plasmid RefSeq|Homology,ratio1_Esch_coli_2011C-3911_NODE_20_length_61399_cov_59.148719_30869-42101_ratio1_Esch_coli_2011C-3911_NODE_20_length_61399_cov_59.148719_33_4 # 3590 # 4534 # -1 # ID=83_4;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.495,100.0,626.0,314,2.3599999999999988e-229,315,1,314,1,314,mobileOG_000329392,PSLT051,A0A086TQA6,replication/recombination/repair,NA,Plasmid RefSeq,Homology,ratio1_Esch_coli_2011C-3911_NODE_20_length_61399_cov_59.148719_30869-42101_ratio1_Esch_coli_2011C-3911_NODE_20_length_61399_cov_59.148719_33_4, 3590 # 4534 # -1 , 3590,4534,-1 ,83_4,83,4,00,ATG,GGA/GAG/AGG,5-10bp,0.495,ratio1_Esch_coli_2011C-3911_NODE_20_length_61399_cov_59.148719_30869-42101_ratio1_Esch_coli_2011C-3911_NODE_20_length_61399_cov_59.148719_33,mobileOG_000329392_ratio1_Esch_coli_2011C-3911_NODE_20_length_61399_cov_59.148719_30869-42101_ratio1_Esch_coli_2011C-3911_NODE_20_length_61399_cov_59.148719_33
17,mobileOG_000321643|ecnB|WP_000977757.1|stability/transfer/defense|NA|Plasmid RefSeq|Homology,ratio1_Esch_coli_2011C-3911_NODE_68_length_18690_cov_85.400698_1-10807_ratio1_Esch_coli_2011C-3911_NODE_68_length_18690_cov_85.400698_8_4 # 3144 # 3266 # 1 # ID=90_4;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.553,100.0,78.6,41,3.3500000000000002e-21,41,2,41,1,40,mobileOG_000321643,ecnB,WP_000977757.1,stability/transfer/defense,NA,Plasmid RefSeq,Homology,ratio1_Esch_coli_2011C-3911_NODE_68_length_18690_cov_85.400698_1-10807_ratio1_Esch_coli_2011C-3911_NODE_68_length_18690_cov_85.400698_8_4, 3144 # 3266 # 1 , 3144,3266,1 ,90_4,90,4,00,ATG,GGA/GAG/AGG,5-10bp,0.553,ratio1_Esch_coli_2011C-3911_NODE_68_length_18690_cov_85.400698_1-10807_ratio1_Esch_coli_2011C-3911_NODE_68_length_18690_cov_85.400698_8,mobileOG_000321643_ratio1_Esch_coli_2011C-3911_NODE_68_length_18690_cov_85.400698_1-10807_ratio1_Esch_coli_2011C-3911_NODE_68_length_18690_cov_85.400698_8
18,mobileOG_000330413|ecnB|ETJ37164.1|stability/transfer/defense|NA|Plasmid RefSeq|Homology,ratio1_Esch_coli_2011C-3911_NODE_68_length_18690_cov_85.400698_1-10807_ratio1_Esch_coli_2011C-3911_NODE_68_length_18690_cov_85.400698_8_5 # 3377 # 3523 # 1 # ID=90_5;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.490,100.0,88.2,48,8.370000000000002e-25,49,1,48,1,48,mobileOG_000330413,ecnB,ETJ37164.1,stability/transfer/defense,NA,Plasmid RefSeq,Homology,ratio1_Esch_coli_2011C-3911_NODE_68_length_18690_cov_85.400698_1-10807_ratio1_Esch_coli_2011C-3911_NODE_68_length_18690_cov_85.400698_8_5, 3377 # 3523 # 1 , 3377,3523,1 ,90_5,90,5,00,ATG,AGGA,5-10bp,0.490,ratio1_Esch_coli_2011C-3911_NODE_68_length_18690_cov_85.400698_1-10807_ratio1_Esch_coli_2011C-3911_NODE_68_length_18690_cov_85.400698_8,mobileOG_000330413_ratio1_Esch_coli_2011C-3911_NODE_68_length_18690_cov_85.400698_1-10807_ratio1_Esch_coli_2011C-3911_NODE_68_length_18690_cov_85.400698_8
19,mobileOG_000017974|insZ|A0A037Y8D2|integration/excision|NA|Multiple|Manual,ratio1_Esch_coli_2011C-3911_NODE_72_length_13896_cov_107.264793_6509-13896_ratio1_Esch_coli_2011C-3911_NODE_72_length_13896_cov_107.264793_12_2 # 2597 # 2782 # 1 # ID=91_2;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.538,100.0,131.0,61,1.59e-41,62,1,61,1,61,mobileOG_000017974,insZ,A0A037Y8D2,integration/excision,NA,Multiple,Manual,ratio1_Esch_coli_2011C-3911_NODE_72_length_13896_cov_107.264793_6509-13896_ratio1_Esch_coli_2011C-3911_NODE_72_length_13896_cov_107.264793_12_2, 2597 # 2782 # 1 , 2597,2782,1 ,91_2,91,2,00,ATG,GGAG/GAGG,5-10bp,0.538,ratio1_Esch_coli_2011C-3911_NODE_72_length_13896_cov_107.264793_6509-13896_ratio1_Esch_coli_2011C-3911_NODE_72_length_13896_cov_107.264793_12,mobileOG_000017974_ratio1_Esch_coli_2011C-3911_NODE_72_length_13896_cov_107.264793_6509-13896_ratio1_Esch_coli_2011C-3911_NODE_72_length_13896_cov_107.264793_12
20,mobileOG_000017973|insZ|A0A024L4B6|integration/excision|NA|GPD|Manual,ratio1_Esch_coli_2011C-3911_NODE_72_length_13896_cov_107.264793_6509-13896_ratio1_Esch_coli_2011C-3911_NODE_72_length_13896_cov_107.264793_12_3 # 2988 # 3497 # 1 # ID=91_3;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.522,99.4,318.0,196,1.1499999999999996e-111,170,37,196,10,169,mobileOG_000017973,insZ,A0A024L4B6,integration/excision,NA,GPD,Manual,ratio1_Esch_coli_2011C-3911_NODE_72_length_13896_cov_107.264793_6509-13896_ratio1_Esch_coli_2011C-3911_NODE_72_length_13896_cov_107.264793_12_3, 2988 # 3497 # 1 , 2988,3497,1 ,91_3,91,3,00,ATG,None,None,0.522,ratio1_Esch_coli_2011C-3911_NODE_72_length_13896_cov_107.264793_6509-13896_ratio1_Esch_coli_2011C-3911_NODE_72_length_13896_cov_107.264793_12,mobileOG_000017973_ratio1_Esch_coli_2011C-3911_NODE_72_length_13896_cov_107.264793_6509-13896_ratio1_Esch_coli_2011C-3911_NODE_72_length_13896_cov_107.264793_12
21,mobileOG_000026107|parE|P20083|replication/recombination/repair|partitioning|Multiple|Manual,ratio1_Esch_coli_MB19_NODE_4_length_84024_cov_114.526158_61699-73180_ratio1_Esch_coli_MB19_NODE_4_length_84024_cov_114.526158_65_2 # 390 # 2282 # -1 # ID=96_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.540,100.0,1255.0,630,0.0,631,1,630,1,630,mobileOG_000026107,parE,P20083,replication/recombination/repair,partitioning,Multiple,Manual,ratio1_Esch_coli_MB19_NODE_4_length_84024_cov_114.526158_61699-73180_ratio1_Esch_coli_MB19_NODE_4_length_84024_cov_114.526158_65_2, 390 # 2282 # -1 , 390,2282,-1 ,96_2,96,2,00,ATG,None,None,0.540,ratio1_Esch_coli_MB19_NODE_4_length_84024_cov_114.526158_61699-73180_ratio1_Esch_coli_MB19_NODE_4_length_84024_cov_114.526158_65,mobileOG_000026107_ratio1_Esch_coli_MB19_NODE_4_length_84024_cov_114.526158_61699-73180_ratio1_Esch_coli_MB19_NODE_4_length_84024_cov_114.526158_65
