sample1	sample2	ref	scaffold	length	common	commonPct	single	singlePct	singleAgree	singleAgreePct	multi	multiPct	sharedAlleles	sharedAllelesPct	variants	variantPct	commonVariant	commonVariantPct	variantExact	variantExactPct	AnotB	AnotBpct	BnotA	BnotApct	Agaps	AgapPct	Bgaps	BgapPct	gapJaccardSim	sample1_hh	sample2_hh	HH_type	sample1_host	sample2_host
A1009	P3050	na	NZ_CP076282.1	4831855	3164978	65.5023	3162860	99.9331	3149890	99.5899	2118	0.0669	3151975	99.5892	16308	0.5153	3305	20.2661	1233	7.5607	11872	72.7986	2811	17.2369	253240	44.9171	59660	100	0.9594	009	050	Between	Human	Animal
A1009	S1030	na	NZ_CP076282.1	4831855	2874516	59.4909	2871270	99.8871	2859200	99.5796	3246	0.1129	2862409	99.5788	16422	0.5713	4315	26.2757	1119	6.814	11247	68.4874	3579	21.7939	253240	18.4323	14893	100	0.9504	009	030	Between	Human	Environment
A1009	W1055	na	NZ_CP076282.1	4831855	2384747	49.3547	2370555	99.4049	2360291	99.567	14192	0.5951	2374392	99.5658	25540	1.071	15185	59.4558	1105	4.3265	9133	35.7596	14015	54.8747	253240	66.9314	79884	100	0.9623	009	055	Between	Human	Environment
A1011	A1020	na	NZ_CP022279.1	4907118	3677259	74.9372	3675242	99.9451	3672821	99.9341	2017	0.0549	3674833	99.934	16344	0.4445	13918	85.1566	12113	74.1128	1671	10.2239	2011	12.3042	201701	68.6437	260928	63.1025	0.957	011	020	Between	Human	Human
A1011	A1049	na	NZ_CP053284.1	5244439	448582	8.5535	445526	99.3187	441624	99.1242	3056	0.6813	444638	99.1208	8294	1.8489	4350	52.4476	1541	18.5797	3662	44.1524	2560	30.8657	122636	69.9672	145454	67.5244	0.9811	011	049	Between	Human	Human
A1011	A1049	na	NZ_LR134231.1	4594692	1115499	24.278	1114229	99.8861	1111284	99.7357	1270	0.1139	1112528	99.7337	4608	0.4131	1637	35.5252	427	9.2665	1993	43.2509	2054	44.5747	69169	62.0798	71381	50.2473	0.9849	011	049	Between	Human	Human
A1011	A1053	na	NZ_LR134231.1	4594692	993084	21.6137	990071	99.6966	988157	99.8067	3013	0.3034	991139	99.8041	5195	0.5231	3250	62.5602	385	7.411	1896	36.4966	2712	52.204	69169	19.9974	34664	36.2855	0.9828	011	053	Between	Human	Human
A1011	A1058	na	NZ_LR134231.1	4594692	593069	12.9077	592043	99.827	589070	99.4978	1026	0.173	590080	99.496	4485	0.7562	1496	33.3556	490	10.9253	1730	38.573	2128	47.447	69169	62.0798	103098	41.0629	0.9807	011	058	Between	Human	Human
A1011	A1064	na	NZ_LR134231.1	4594692	769876	16.7558	768222	99.7852	765596	99.6582	1654	0.2148	767235	99.657	4685	0.6085	2044	43.6286	431	9.1996	1608	34.3223	2541	54.2369	69169	62.0798	43970	83.3978	0.9904	011	064	Between	Human	Human
A1011	A1080	na	NZ_CP053284.1	5244439	350306	6.6796	346422	98.8913	342257	98.7977	3884	1.1087	346102	98.7999	9170	2.6177	4966	54.1549	1506	16.4231	3929	42.8462	3042	33.1734	122636	47.8962	111019	55.4013	0.9765	011	080	Between	Human	Human
A1011	A1081	na	NZ_CP053284.1	5244439	450834	8.5964	445820	98.8878	442189	99.1855	5014	1.1122	447157	99.1844	9632	2.1365	5955	61.8252	1484	15.407	3776	39.2027	3570	37.064	122636	52.5319	189025	36.0794	0.9624	011	081	Between	Human	Human
A1011	A1085	na	NZ_CP022279.1	4907118	3620537	73.7813	3618644	99.9477	3616197	99.9324	1893	0.0523	3618089	99.9324	16289	0.4499	13841	84.9715	12188	74.8235	1549	9.5095	1996	12.2537	201701	68.6437	327116	65.3838	0.9432	011	085	Between	Human	Human
A1011	A1092	na	NZ_LR134231.1	4594692	1175492	25.5837	1173518	99.8321	1169831	99.6858	1974	0.1679	1171777	99.684	6195	0.527	2480	40.0323	580	9.3624	2076	33.5109	3370	54.3987	69169	86.507	61818	79.671	0.9927	011	092	Between	Human	Human
A1011	A1098	na	NZ_LR134231.1	4594692	561268	12.2156	558195	99.4525	554991	99.426	3073	0.5475	558031	99.4233	6619	1.1793	3382	51.0953	411	6.2094	1577	23.8254	4446	67.1703	69169	62.0798	61832	68.7055	0.9898	011	098	Between	Human	Human
A1011	A1108	na	NZ_CP100544.1	4679910	2455444	52.4678	2450788	99.8104	2444545	99.7453	4656	0.1896	2449181	99.7449	11026	0.449	4763	43.1979	207	1.8774	3795	34.4186	6745	61.1736	70317	50.6464	67203	46.7628	0.9838	011	108	Between	Human	Human
A1011	C1009	na	NZ_LR134231.1	4594692	1021169	22.225	1017971	99.6868	1014891	99.6974	3198	0.3132	1018070	99.6965	6748	0.6608	3649	54.0753	523	7.7504	1785	26.4523	4283	63.4707	69169	82.3722	53202	82.2638	0.9922	011	009	Between	Human	Human
A1011	C1033	na	NZ_LR134231.1	4594692	1147346	24.9711	1145443	99.8341	1143287	99.8118	1903	0.1659	1145163	99.8097	4534	0.3952	2351	51.8527	549	12.1085	1883	41.5307	1967	43.3833	69169	100	75077	87.4848	0.997	011	033	Between	Human	Human
A1011	C1038	na	NZ_CP053284.1	5244439	400514	7.6369	395495	98.7469	392734	99.3019	5019	1.2531	397723	99.3031	9921	2.4771	7130	71.8678	2891	29.1402	2648	26.6909	3236	32.6177	122636	79.5003	173519	60.1139	0.9772	011	038	Between	Human	Human
A1011	C1038	na	NZ_CP022279.1	4907118	3506141	71.4501	3502132	99.8857	3499998	99.9391	4009	0.1143	3503992	99.9387	17364	0.4952	15215	87.6238	11569	66.6264	1813	10.4411	3127	18.0085	201701	67.0096	146224	95.3065	0.9766	011	038	Between	Human	Human
A1011	C1038	na	NZ_LR134231.1	4594692	754916	16.4302	751224	99.5109	749705	99.7978	3692	0.4891	753385	99.7972	5644	0.7476	4113	72.8738	841	14.9008	1284	22.7498	3027	53.6322	69169	44.452	39077	61.9828	0.9869	011	038	Between	Human	Human
A1011	C1049	na	NZ_CP053284.1	5244439	459465	8.761	456209	99.2913	451966	99.0699	3256	0.7087	455194	99.0704	8672	1.8874	4401	50.7495	1526	17.5969	3735	43.0696	2777	32.0226	122636	69.9672	256245	40.5862	0.9596	011	049	Between	Human	Human
A1011	C1075	na	NZ_CP053284.1	5244439	480815	9.1681	478064	99.4278	473501	99.0455	2751	0.5722	476229	99.0462	8828	1.836	4242	48.0517	1863	21.1033	3883	43.985	2617	29.6443	122636	79.9488	386679	27.0904	0.9343	011	075	Between	Human	Human
A1011	C1103	na	NZ_CP100544.1	4679910	2479573	52.9833	2475335	99.8291	2473535	99.9273	4238	0.1709	2477764	99.927	6154	0.2482	4345	70.6045	183	2.9737	3704	60.1885	1972	32.0442	70317	25.5173	56220	36.3785	0.9805	011	103	Between	Human	Human
A1011	C1109	na	NZ_CP100544.1	4679910	1959700	41.8747	1954774	99.7486	1950963	99.805	4926	0.2514	1955855	99.8038	8850	0.4516	5005	56.5537	167	1.887	3298	37.2655	5126	57.9209	70317	53.9869	56979	69.2395	0.9889	011	109	Between	Human	Human
A1011	C2068	na	NZ_CP022279.1	4907118	3680013	74.9934	3678241	99.9518	3675851	99.935	1772	0.0482	3677601	99.9345	15994	0.4346	13582	84.9193	12003	75.0469	1790	11.1917	1767	11.0479	201701	79.8033	258077	70.6898	0.9646	011	068	Between	Human	Human
A1011	D1060	na	NZ_LR134231.1	4594692	1099329	23.9261	1095097	99.615	1093108	99.8184	4232	0.385	1097321	99.8173	6589	0.5994	4581	69.525	530	8.0437	1920	29.1395	3868	58.7039	69169	52.6291	42940	64.7671	0.9876	011	060	Between	Human	Animal
A1011	O1004	na	NZ_LR134231.1	4594692	998616	21.7341	994986	99.6365	992052	99.7051	3630	0.3635	995641	99.7021	6979	0.6989	4004	57.3721	549	7.8665	2088	29.9183	4086	58.5471	69169	62.0798	46667	79.793	0.9909	011	004	Between	Human	Human
A1011	O1011	na	NZ_CP053284.1	5244439	303587	5.7887	300825	99.0902	297197	98.794	2762	0.9098	299918	98.7915	7041	2.3193	3372	47.8909	790	11.22	3587	50.9445	2241	31.8279	122636	39.8366	116849	47.5417	0.9716	011	011	Within	Human	Human
A1011	O1021	na	NZ_CP053284.1	5244439	469656	8.9553	462547	98.4863	458991	99.2312	7109	1.5137	466034	99.2288	12109	2.5783	8487	70.0884	2010	16.5992	3556	29.3666	5419	44.7518	122636	73.7084	137001	67.5411	0.9825	011	021	Between	Human	Human
A1011	O1021	na	NZ_CP022279.1	4907118	2610431	53.1968	2602367	99.6911	2600947	99.9454	8064	0.3089	2609004	99.9453	16310	0.6248	14883	91.2508	6974	42.759	985	6.0392	7878	48.3017	201701	76.5599	207883	77.7885	0.9661	011	021	Between	Human	Human
A1011	O1034	na	NZ_CP053284.1	5244439	406849	7.7577	402984	99.05	399032	99.0193	3865	0.95	402856	99.0186	8961	2.2025	4968	55.4402	1643	18.335	3320	37.0494	3239	36.1455	122636	64.1753	228890	43.7581	0.9594	011	034	Between	Human	Human
A1011	O1038	na	NZ_LR134231.1	4594692	1237095	26.9244	1235872	99.9011	1231965	99.6839	1223	0.0989	1233173	99.683	5562	0.4496	1640	29.4858	444	7.9827	2320	41.7116	2717	48.8493	69169	100	118258	57.4498	0.988	011	038	Between	Human	Human
A1011	O1042	na	NZ_CP022279.1	4907118	3701597	75.4332	3698966	99.9289	3697826	99.9692	2631	0.0711	3700448	99.969	16036	0.4332	14887	92.8349	12613	78.6543	1245	7.7638	1506	9.3914	201701	86.1538	221091	92.0919	0.9818	011	042	Between	Human	Human
A1011	O1045	na	NZ_CP053284.1	5244439	281198	5.3618	280103	99.6106	278030	99.2599	1095	0.3894	279125	99.2628	4542	1.6152	2469	54.3593	1517	33.3994	797	17.5473	1827	40.2246	122636	86.1093	306093	44.1889	0.9575	011	045	Between	Human	Human
A1011	O1045	na	NZ_CP022279.1	4907118	3688420	75.1647	3684368	99.8901	3683206	99.9685	4052	0.1099	3687243	99.9681	17578	0.4766	16401	93.3041	12867	73.1995	1178	6.7016	2495	14.1939	201701	79.8033	214883	86.2213	0.9736	011	045	Between	Human	Human
A1011	O1060	na	NZ_CP022279.1	4907118	3704265	75.4876	3702315	99.9474	3700048	99.9388	1950	0.0526	3701993	99.9387	16166	0.4364	13894	85.9458	12148	75.1454	1637	10.1262	1830	11.3201	201701	68.6437	288141	57.164	0.9513	011	060	Between	Human	Human
A1011	O1108	na	NZ_LR134231.1	4594692	535702	11.6591	534342	99.7461	531810	99.5261	1360	0.2539	533156	99.5247	4273	0.7976	1727	40.4166	410	9.5951	1571	36.7657	2173	50.8542	69169	62.0798	88781	46.5054	0.9834	011	108	Between	Human	Human
A1011	P1004	na	NZ_LR134231.1	4594692	864554	18.8164	863202	99.8436	860911	99.7346	1352	0.1564	862251	99.7336	3869	0.4475	1566	40.4756	256	6.6167	2348	60.6875	1166	30.137	69169	75.5729	67840	71.7453	0.9911	011	004	Between	Human	Animal
A1011	P1005	na	NZ_LR134231.1	4594692	749717	16.317	745217	99.3998	743583	99.7807	4500	0.6002	748061	99.7791	6410	0.855	4754	74.1654	483	7.5351	1786	27.8627	3818	59.5632	69169	62.0798	32957	100	0.992	011	005	Between	Human	Animal
A1011	P1020	na	NZ_LR134231.1	4594692	1166759	25.3936	1165291	99.8742	1159445	99.4983	1468	0.1258	1160893	99.4972	7958	0.6821	2092	26.288	656	8.2433	1772	22.2669	5345	67.1651	69169	82.3722	88599	53.2467	0.986	011	020	Between	Human	Animal
A1011	P1021	na	NZ_LR134231.1	4594692	963661	20.9734	959482	99.5663	957571	99.8008	4179	0.4337	961719	99.7985	6479	0.6723	4537	70.0262	632	9.7546	1753	27.0566	3456	53.3416	69169	75.5729	57519	83.5237	0.9933	011	021	Between	Human	Animal
A1011	P1038	na	NZ_LR134231.1	4594692	779658	16.9687	777375	99.7072	775447	99.752	2283	0.2928	777709	99.75	4550	0.5836	2601	57.1648	463	10.1758	1679	36.9011	2194	48.2198	69169	62.0798	42619	76.7029	0.9898	011	038	Between	Human	Animal
A1011	P1055	na	NZ_LR134231.1	4594692	570192	12.4098	568497	99.7027	566533	99.6545	1695	0.2973	568213	99.6529	3976	0.6973	1997	50.2264	372	9.3561	1861	46.8058	1557	39.16	69169	62.0798	47164	79.2172	0.9908	011	055	Between	Human	Animal
A1011	P1084	na	NZ_LR134231.1	4594692	828437	18.0303	827438	99.8794	826107	99.8391	999	0.1206	827095	99.838	2568	0.31	1226	47.7414	259	10.0857	899	35.0078	1377	53.6215	69169	100	116509	71.5129	0.9883	011	084	Between	Human	Animal
A1011	P1090	na	NZ_LR134231.1	4594692	1258285	27.3856	1257071	99.9035	1253458	99.7126	1214	0.0965	1254651	99.7112	5444	0.4327	1810	33.2476	619	11.3703	2330	42.7994	2349	43.1484	69169	86.507	92755	50.5073	0.985	011	090	Between	Human	Animal
A1011	P2066	na	NZ_LR134231.1	4594692	922125	20.0694	920406	99.8136	918321	99.7735	1719	0.1864	920022	99.7719	4152	0.4503	2049	49.3497	406	9.7784	1845	44.4364	1752	42.1965	69169	62.0798	53230	77.2515	0.9911	011	066	Between	Human	Animal
A1011	P3031	na	NZ_LR134231.1	4594692	189769	4.1302	188293	99.2222	186728	99.1688	1476	0.7778	188189	99.1674	3382	1.7822	1802	53.2821	412	12.1821	1282	37.9066	1529	45.2099	69169	90.5492	65131	87.605	0.9955	011	031	Between	Human	Animal
A1011	P3092	na	NZ_LR134231.1	4594692	961467	20.9256	955119	99.3398	953514	99.832	6348	0.6602	959827	99.8294	8223	0.8553	6583	80.0559	488	5.9346	1820	22.133	5436	66.1073	69169	62.0798	41192	100	0.9938	011	092	Between	Human	Animal
A1011	S1019	na	NZ_LR134231.1	4594692	778323	16.9396	776560	99.7735	774329	99.7127	1763	0.2265	776083	99.7122	4331	0.5565	2091	48.2798	366	8.4507	1797	41.4916	2015	46.5251	69169	90.5492	65915	81.5869	0.9938	011	019	Between	Human	Environment
A1011	S1030	na	NZ_LR134231.1	4594692	949297	20.6607	946671	99.7234	943995	99.7173	2626	0.2766	946597	99.7156	5778	0.6087	3078	53.271	605	10.4708	1682	29.1104	3227	55.8498	69169	100	67621	86.1212	0.9955	011	030	Between	Human	Environment
A1011	S1084	na	NZ_CP100544.1	4679910	2584985	55.2358	2580696	99.8341	2579985	99.9724	4289	0.1659	2584270	99.9723	5269	0.2038	4554	86.4301	294	5.5798	4344	82.4445	630	11.9567	70317	68.8169	55636	88.5092	0.9937	011	084	Between	Human	Environment
A1011	W1110	na	NZ_LR134231.1	4594692	1260128	27.4257	1258821	99.8963	1255552	99.7403	1307	0.1037	1256835	99.7387	5115	0.4059	1822	35.6207	564	11.0264	2230	43.5973	2160	42.2287	69169	44.452	82294	34.7	0.9792	011	110	Between	Human	Environment
A1020	A1085	na	NZ_CP022279.1	4907118	4004507	81.6061	4002477	99.9493	4001057	99.9645	2030	0.0507	4003084	99.9645	20822	0.52	19399	93.1659	18190	87.3595	1149	5.5182	1111	5.3357	260928	95.516	327116	83.5184	0.9751	020	085	Between	Human	Human
A1020	C1038	na	NZ_CP022279.1	4907118	3534268	72.0233	3530197	99.8848	3528872	99.9625	4071	0.1152	3532933	99.9622	17986	0.5089	16651	92.5776	12896	71.7002	1449	8.0563	2608	14.5002	260928	64.0399	146224	96.4643	0.9683	020	038	Between	Human	Human
A1020	C2068	na	NZ_CP022279.1	4907118	3986795	81.2451	3985105	99.9576	3983490	99.9595	1690	0.0424	3985169	99.9592	17695	0.4438	16069	90.811	14600	82.5092	1346	7.6067	1244	7.0302	260928	84.0864	258077	85.5268	0.9738	020	068	Between	Human	Human
A1020	O1021	na	NZ_CP022279.1	4907118	2595502	52.8926	2587493	99.6914	2585820	99.9353	8009	0.3086	2593813	99.9349	16865	0.6498	15176	89.9852	7285	43.196	1214	7.1983	7858	46.5935	260928	70.0274	207883	75.389	0.9599	020	021	Between	Human	Human
A1020	O1042	na	NZ_CP022279.1	4907118	3836796	78.1884	3834283	99.9345	3831892	99.9376	2513	0.0655	3834388	99.9372	17834	0.4648	15426	86.4977	13374	74.9916	2038	11.4276	1779	9.9753	260928	75.8504	221091	79.7065	0.9691	020	042	Between	Human	Human
A1020	O1045	na	NZ_CP022279.1	4907118	3942210	80.3366	3938183	99.8978	3935463	99.9309	4027	0.1022	3939466	99.9304	20154	0.5112	17410	86.3848	13739	68.1701	2154	10.6877	3015	14.9598	260928	69.5575	214883	86.9361	0.9703	020	045	Between	Human	Human
A1020	O1060	na	NZ_CP022279.1	4907118	4107348	83.7018	4105655	99.9588	4105492	99.996	1693	0.0412	4107185	99.996	20438	0.4976	20275	99.2025	19517	95.4937	458	2.2409	219	1.0715	260928	100	288141	92.4853	0.994	020	060	Between	Human	Human
A1024	A1083	na	NZ_CP045206.1	4944436	3447422	69.7233	3443097	99.8745	3439123	99.8846	4325	0.1255	3443404	99.8834	11430	0.3316	7412	64.8469	3396	29.7113	5514	48.2415	1995	17.4541	129967	63.6754	123089	88.302	0.981	024	083	Between	Human	Human
A1024	C1034	na	NZ_CP045206.1	4944436	3141838	63.5429	3137218	99.853	3107289	99.046	4620	0.147	3111818	99.0445	35962	1.1446	5942	16.523	1509	4.1961	4655	12.9442	29423	81.8169	129967	43.2287	225916	21.3535	0.9445	024	034	Between	Human	Human
A1024	C1076	na	NZ_CP045206.1	4944436	3210981	64.9413	3206448	99.8588	3202670	99.8822	4533	0.1412	3207153	99.8808	9845	0.3066	6017	61.1173	1760	17.8771	5583	56.709	2141	21.7471	129967	57.2161	138083	60.1493	0.9733	024	076	Between	Human	Human
A1024	C1083	na	NZ_CP045206.1	4944436	3416544	69.0988	3409863	99.8045	3406305	99.8957	6681	0.1955	3412929	99.8942	12627	0.3696	9012	71.3709	2862	22.6657	5444	43.114	3571	28.2807	129967	63.6754	110296	92.4993	0.9828	024	083	Between	Human	Human
A1024	D1060	na	NZ_CP049936.1	4731796	1118167	23.6309	1111507	99.4044	1108298	99.7113	6660	0.5956	1114926	99.7102	10786	0.9646	7545	69.9518	1575	14.6023	4100	38.0122	4245	39.3566	51352	39.5544	44022	54.9907	0.9884	024	060	Between	Human	Animal
A1024	O1020	na	NZ_CP045206.1	4944436	3430700	69.3851	3424568	99.8213	3420556	99.8828	6132	0.1787	3426620	99.8811	12763	0.372	8683	68.0326	3011	23.5916	5415	42.4273	3733	29.2486	129967	70.5594	108472	100	0.9838	024	020	Between	Human	Human
A1024	P1066	na	NZ_CP101274.1	4892441	632706	12.9323	628228	99.2922	625223	99.5217	4478	0.7078	629656	99.5179	7873	1.2443	4823	61.26	561	7.1256	4400	55.8872	2632	33.4307	40876	0	88612	0	0.9735	024	066	Between	Human	Animal
A1024	P1084	na	NZ_CP049936.1	4731796	1157200	24.4558	1152467	99.591	1149391	99.7331	4733	0.409	1154058	99.7285	8973	0.7754	5831	64.9838	1353	15.0786	3888	43.33	2786	31.0487	51352	100	129902	54.234	0.9832	024	084	Between	Human	Animal
A1024	P1085	na	NZ_CP049936.1	4731796	1208766	25.5456	1204669	99.6611	1200731	99.6731	4097	0.3389	1204777	99.67	9368	0.775	5379	57.4189	1441	15.3822	3686	39.3467	3308	35.3117	51352	100	170614	38.4289	0.9745	024	085	Between	Human	Animal
A1024	P1111	na	NZ_CP045206.1	4944436	2491306	50.3861	2485522	99.7678	2482371	99.8732	5784	0.2322	2488108	99.8716	9800	0.3934	6602	67.3673	1003	10.2347	3586	36.5918	4955	50.5612	129967	61.3533	145220	74.0614	0.9748	024	111	Between	Human	Animal
A1024	P1111	na	NZ_CP101274.1	4892441	754977	15.4315	749129	99.2254	746260	99.617	5848	0.7746	752057	99.6132	9487	1.2566	6567	69.221	1098	11.5737	4386	46.2317	3403	35.8701	40876	16.7066	42321	17.19	0.9858	024	111	Between	Human	Animal
A1024	P2009	na	NZ_CP049936.1	4731796	683036	14.435	679669	99.5071	677541	99.6869	3367	0.4929	680886	99.6852	6204	0.9083	4054	65.3449	940	15.1515	1947	31.383	2769	44.6325	51352	83.2256	115016	37.3226	0.9825	024	009	Between	Human	Animal
A1024	P2068	na	NZ_CP101274.1	4892441	717278	14.6609	711743	99.2283	708559	99.5526	5535	0.7717	714033	99.5476	9732	1.3568	6487	66.6564	1264	12.9881	3767	38.7074	4202	43.1771	40876	16.7066	24258	32.6531	0.9895	024	068	Between	Human	Animal
A1024	P2076	na	NZ_CP101274.1	4892441	1171333	23.9417	1167850	99.7026	1164450	99.7089	3483	0.2974	1167901	99.707	7650	0.6531	4218	55.1373	783	10.2353	5047	65.9739	1531	20.0131	40876	16.7066	150216	6.8315	0.9637	024	076	Between	Human	Animal
A1024	P3092	na	NZ_CP101274.1	4892441	1044401	21.3472	1035656	99.1627	1032528	99.698	8745	0.8373	1041217	99.6951	12611	1.2075	9427	74.7522	1323	10.4908	5274	41.8206	5376	42.6295	40876	0	63328	0	0.9787	024	092	Between	Human	Animal
A1024	S1066	na	NZ_CP101274.1	4892441	878266	17.9515	871800	99.2638	868467	99.6177	6466	0.7362	874873	99.6137	10506	1.1962	7113	67.7042	973	9.2614	4513	42.9564	4618	43.9558	40876	16.7066	49366	21.1097	0.9843	024	066	Between	Human	Environment
A1030	P2110	na	NZ_CP096837.1	4837912	3329167	68.8141	3325265	99.8828	3289633	98.9284	3902	0.1172	3293464	98.9276	44102	1.3247	8399	19.0445	4610	10.453	32645	74.0216	6459	14.6456	177604	59.3872	133967	77.4123	0.976	030	110	Between	Human	Animal
A1030	S1110	na	NZ_CP096837.1	4837912	3268844	67.5672	3242814	99.2037	3207786	98.9198	26030	0.7963	3233426	98.9165	65821	2.0136	30403	46.1904	4955	7.528	31881	48.4359	26994	41.0112	177604	38.846	93187	69.6546	0.9686	030	110	Between	Human	Environment
A1031	C1031	na	NZ_CP088131.1	4785944	2806001	58.63	2803058	99.8951	2802745	99.9888	2943	0.1049	2805686	99.9888	7490	0.2669	7175	95.7944	4756	63.498	1489	19.8798	416	5.5541	143097	100	220187	67.3686	0.9834	031	031	Within	Human	Human
A1031	C1045	na	NZ_CP073981.1	4774884	2033312	42.5835	2029850	99.8297	2027085	99.8638	3462	0.1703	2030524	99.8629	7310	0.3595	4522	61.8605	1185	16.2107	2880	39.3981	2794	38.2216	130781	50.2389	75917	83.8943	0.9771	031	045	Between	Human	Human
A1031	C1076	na	NZ_CP073981.1	4774884	2823322	59.1286	2819821	99.876	2816636	99.887	3501	0.124	2820118	99.8865	8151	0.2887	4947	60.6919	1674	20.5374	3099	38.0199	2751	33.7505	130781	59.8466	129719	74.0817	0.9725	031	076	Between	Human	Human
A1031	C1085	na	NZ_CP088131.1	4785944	2434584	50.8695	2429675	99.7984	2427420	99.9072	4909	0.2016	2432299	99.9061	9005	0.3699	6720	74.6252	2388	26.5186	3800	42.1988	2462	27.3404	143097	83.4944	122420	89.0541	0.9873	031	085	Between	Human	Human
A1031	C1092	na	NZ_CP088131.1	4785944	1927301	40.27	1919174	99.5783	1915977	99.8334	8127	0.4217	1924073	99.8325	12116	0.6287	8888	73.3575	1015	8.3774	3878	32.0073	6837	56.4295	143097	78.1561	147617	80.0545	0.9833	031	092	Between	Human	Human
A1031	C1110	na	NZ_CP073981.1	4774884	1993535	41.7504	1991142	99.88	1987265	99.8053	2393	0.12	1989639	99.8046	7743	0.3884	3847	49.6836	1564	20.1989	3813	49.2445	1898	24.5125	130781	63.7424	151955	54.0377	0.9671	031	110	Between	Human	Human
A1031	C2048	na	NZ_CP073981.1	4774884	2962002	62.033	2956145	99.8023	2954012	99.9278	5857	0.1977	2959824	99.9265	9402	0.3174	7224	76.8347	1884	20.0383	3742	39.8	3336	35.4818	130781	69.4573	255047	52.4931	0.9481	031	048	Between	Human	Human
A1031	D1109	na	NZ_CP073981.1	4774884	1958284	41.0122	1949949	99.5744	1947038	99.8507	8335	0.4256	1955336	99.8495	12481	0.6373	9533	76.3801	1701	13.6287	3713	29.7492	6334	50.7491	130781	41.9373	51858	100	0.9833	031	109	Between	Human	Animal
A1031	O1031	na	NZ_CP088131.1	4785944	2890889	60.4037	2887669	99.8886	2887662	99.9998	3220	0.1114	2890881	99.9997	7797	0.2697	7789	99.8974	7209	92.4586	271	3.4757	171	2.1932	143097	100	158788	90.9596	0.9965	031	031	Within	Human	Human
A1031	O1031	na	NZ_CP073981.1	4774884	2849074	59.6679	2845964	99.8908	2845950	99.9995	3110	0.1092	2849060	99.9995	7758	0.2723	7744	99.8195	7223	93.1039	133	1.7144	333	4.2923	130781	100	163239	84.6146	0.993	031	031	Within	Human	Human
A1031	O1034	na	NZ_CP088131.1	4785944	2329037	48.6641	2325431	99.8452	2322364	99.8681	3606	0.1548	2325948	99.8674	7605	0.3265	4516	59.382	1123	14.7666	3570	46.9428	2403	31.5976	143097	83.4944	188704	61.5382	0.9728	031	034	Between	Human	Human
