cds,sample,ref,ARG,mobility,size,cluster
A1005_Esch_coli_BLK9_NODE_10_length_71165_cov_127.922050_21,A1005,Esch_coli_BLK9,gb|AAC76539.1|ARO:3000796|mdtF,non-mobile,13113,Cluster 953
A1005_Esch_coli_BLK9_NODE_10_length_71165_cov_127.922050_22,A1005,Esch_coli_BLK9,gb|BAE77781.1|ARO:3000795|mdtE,non-mobile,11157,Cluster 8671
A1005_Esch_coli_BLK9_NODE_113_length_8403_cov_466.454839_1,A1005,Esch_coli_BLK9,gb|ABK33456.1|ARO:3002639|APH(3'')-Ib,mobile,5276,Cluster 10164
A1005_Esch_coli_BLK9_NODE_113_length_8403_cov_466.454839_10,A1005,Esch_coli_BLK9,gb|AAL59753.1|ARO:3000412|sul2,mobile,6404,Cluster 9989
A1005_Esch_coli_BLK9_NODE_113_length_8403_cov_466.454839_11,A1005,Esch_coli_BLK9,gb|ABK33456.1|ARO:3002639|APH(3'')-Ib,mobile,5528,Cluster 11177
A1005_Esch_coli_BLK9_NODE_113_length_8403_cov_466.454839_2,A1005,Esch_coli_BLK9,gb|AAC23556.1|ARO:3002660|APH(6)-Id,mobile,6112,Cluster 11195
A1005_Esch_coli_BLK9_NODE_113_length_8403_cov_466.454839_5,A1005,Esch_coli_BLK9,gb|AAN06707.1|ARO:3000165|tet(A),mobile,8402,Cluster 7542
A1005_Esch_coli_BLK9_NODE_128_length_5976_cov_67.573214_3,A1005,Esch_coli_BLK9,gb|BAA15221.2|ARO:3000263|marA,non-mobile,5975,Cluster 18691
A1005_Esch_coli_BLK9_NODE_13_length_67095_cov_107.687157_40,A1005,Esch_coli_BLK9,gb|AAC73564.1|ARO:3000216|acrB,non-mobile,13149,Cluster 318
A1005_Esch_coli_BLK9_NODE_13_length_67095_cov_107.687157_41,A1005,Esch_coli_BLK9,gb|AAC73565.1|ARO:3004043|Ecol_acrA,mobile,11193,Cluster 7581
A1005_Esch_coli_BLK9_NODE_14_length_63523_cov_84.848207_11,A1005,Esch_coli_BLK9,gb|AAC74149.2|ARO:3001216|mdtH,mobile,11208,Cluster 7284
A1005_Esch_coli_BLK9_NODE_15_length_60690_cov_117.758077_35,A1005,Esch_coli_BLK9,gb|AAC74000.1|ARO:3003950|msbA,mobile,11748,Cluster 3328
A1005_Esch_coli_BLK9_NODE_16_length_58596_cov_128.977315_48,A1005,Esch_coli_BLK9,gb|BAE77933.1|ARO:3000518|CRP,non-mobile,10632,Cluster 13943
A1005_Esch_coli_BLK9_NODE_171_length_2014_cov_12.423686_1,A1005,Esch_coli_BLK9,gb|AAC75089.1|ARO:3003577|ugd,not known,2013,Cluster 8114
A1005_Esch_coli_BLK9_NODE_192_length_1523_cov_120.906676_1,A1005,Esch_coli_BLK9,gb|ACN32294.1|ARO:3000237|TolC,not known,1522,Cluster 6430
A1005_Esch_coli_BLK9_NODE_21_length_52612_cov_129.604563_27,A1005,Esch_coli_BLK9,gb|AAC75314.1|ARO:3003578|PmrF,mobile,10968,Cluster 10235
A1005_Esch_coli_BLK9_NODE_24_length_44222_cov_147.420857_11,A1005,Esch_coli_BLK9,gb|BAE78084.1|ARO:3003548|mdtN,non-mobile,11031,Cluster 9704
A1005_Esch_coli_BLK9_NODE_24_length_44222_cov_147.420857_12,A1005,Esch_coli_BLK9,gb|BAE78083.1|ARO:3003549|mdtO,non-mobile,12051,Cluster 2772
A1005_Esch_coli_BLK9_NODE_24_length_44222_cov_147.420857_13,A1005,Esch_coli_BLK9,gb|BAE78082.1|ARO:3003550|mdtP,non-mobile,11466,Cluster 5005
A1005_Esch_coli_BLK9_NODE_252_length_676_cov_424.017713_1,A1005,Esch_coli_BLK9,gb|AHK10285.1|ARO:3002859|dfrA14,not known,675,Cluster 16327
A1005_Esch_coli_BLK9_NODE_28_length_42299_cov_107.630930_1,A1005,Esch_coli_BLK9,gb|AFH35853.1|ARO:3001328|Ecol_mdfA,non-mobile,6294,Cluster 6590
A1005_Esch_coli_BLK9_NODE_285_length_470_cov_31.638554_1,A1005,Esch_coli_BLK9,gb|AAC76093.1|ARO:3002986|bacA,not known,469,Cluster 17349
A1005_Esch_coli_BLK9_NODE_3_length_110275_cov_88.630113_31,A1005,Esch_coli_BLK9,gb|BAB35162.1|ARO:3000676|H-NS,non-mobile,10413,Cluster 16560
A1005_Esch_coli_BLK9_NODE_31_length_40805_cov_104.112761_6,A1005,Esch_coli_BLK9,gb|BAA11237.1|ARO:3000254|emrY,non-mobile,11538,Cluster 4243
A1005_Esch_coli_BLK9_NODE_31_length_40805_cov_104.112761_7,A1005,Esch_coli_BLK9,gb|BAA11236.1|ARO:3000206|emrK,non-mobile,11163,Cluster 8477
A1005_Esch_coli_BLK9_NODE_31_length_40805_cov_104.112761_8,A1005,Esch_coli_BLK9,gb|BAB36671.1|ARO:3000832|evgA,non-mobile,10614,Cluster 14263
A1005_Esch_coli_BLK9_NODE_31_length_40805_cov_104.112761_9,A1005,Esch_coli_BLK9,gb|AAC75429.1|ARO:3000833|evgS,non-mobile,13593,Cluster 0
A1005_Esch_coli_BLK9_NODE_352_length_263_cov_0.975962_1,A1005,Esch_coli_BLK9,gb|AAC76093.1|ARO:3002986|bacA,not known,262,Cluster 32197
A1005_Esch_coli_BLK9_NODE_40_length_36338_cov_96.038999_22,A1005,Esch_coli_BLK9,gb|BAE78116.1|ARO:3003576|eptA,non-mobile,11643,Cluster 3693
A1005_Esch_coli_BLK9_NODE_42_length_32785_cov_97.620837_7,A1005,Esch_coli_BLK9,gb|AAC73788.1|ARO:3003841|kdpE,non-mobile,10677,Cluster 13201
A1005_Esch_coli_BLK9_NODE_454_length_108_cov_112.490566_1,A1005,Esch_coli_BLK9,gb|ABK33456.1|ARO:3002639|APH(3'')-Ib,not known,107,Cluster 10164
A1005_Esch_coli_BLK9_NODE_46_length_31654_cov_127.574132_10,A1005,Esch_coli_BLK9,gb|AAC76296.1|ARO:3000656|AcrS,mobile,10662,Cluster 13489
A1005_Esch_coli_BLK9_NODE_46_length_31654_cov_127.574132_8,A1005,Esch_coli_BLK9,gb|AAC76298.1|ARO:3000502|AcrF,mobile,13104,Cluster 1565
A1005_Esch_coli_BLK9_NODE_46_length_31654_cov_127.574132_9,A1005,Esch_coli_BLK9,gb|AAC76297.1|ARO:3000499|AcrE,mobile,11157,Cluster 8672
A1005_Esch_coli_BLK9_NODE_49_length_29259_cov_104.327866_18,A1005,Esch_coli_BLK9,gb|WP_063610930.1|ARO:3006876|EC-15,mobile,11166,Cluster 8112
A1005_Esch_coli_BLK9_NODE_5_length_89549_cov_124.752062_27,A1005,Esch_coli_BLK9,gb|BAB38260.1|ARO:3000830|cpxA,non-mobile,11373,Cluster 5639
A1005_Esch_coli_BLK9_NODE_53_length_27874_cov_101.166038_12,A1005,Esch_coli_BLK9,gb|AAC75135.2|ARO:3000792|mdtA,non-mobile,11367,Cluster 5903
A1005_Esch_coli_BLK9_NODE_53_length_27874_cov_101.166038_13,A1005,Esch_coli_BLK9,gb|AAC75136.1|ARO:3000793|mdtB,non-mobile,13122,Cluster 576
A1005_Esch_coli_BLK9_NODE_53_length_27874_cov_101.166038_14,A1005,Esch_coli_BLK9,gb|AAC75137.1|ARO:3000794|mdtC,non-mobile,12279,Cluster 1847
A1005_Esch_coli_BLK9_NODE_53_length_27874_cov_101.166038_16,A1005,Esch_coli_BLK9,gb|BAA15934.1|ARO:3000829|baeS,non-mobile,7789,Cluster 5359
A1005_Esch_coli_BLK9_NODE_53_length_27874_cov_101.166038_17,A1005,Esch_coli_BLK9,gb|BAA15935.1|ARO:3000828|baeR,non-mobile,6389,Cluster 12541
A1005_Esch_coli_BLK9_NODE_56_length_27114_cov_137.697513_5,A1005,Esch_coli_BLK9,gb|AAC75733.1|ARO:3000074|emrB,non-mobile,10635,Cluster 4244
A1005_Esch_coli_BLK9_NODE_56_length_27114_cov_137.697513_6,A1005,Esch_coli_BLK9,gb|BAA16547.1|ARO:3000027|emrA,non-mobile,11172,Cluster 7892
A1005_Esch_coli_BLK9_NODE_56_length_27114_cov_137.697513_7,A1005,Esch_coli_BLK9,gb|AAC75731.1|ARO:3000516|emrR,non-mobile,10530,Cluster 15398
A1005_Esch_coli_BLK9_NODE_68_length_20525_cov_106.777088_20,A1005,Esch_coli_BLK9,gb|ABV18113.1|ARO:3001329|mdtG,non-mobile,8607,Cluster 6256
A1005_Esch_coli_BLK9_NODE_9_length_72405_cov_93.660166_5,A1005,Esch_coli_BLK9,gb|AAC75271.1|ARO:3003952|YojI,mobile,10721,Cluster 3692
A1005_Esch_coli_L37_NODE_102_length_14723_cov_79.236501_4,A1005,Esch_coli_L37,gb|AAC75429.1|ARO:3000833|evgS,non-mobile,11387,Cluster 207
A1005_Esch_coli_L37_NODE_102_length_14723_cov_79.236501_5,A1005,Esch_coli_L37,gb|BAB36671.1|ARO:3000832|evgA,non-mobile,10614,Cluster 14263
A1005_Esch_coli_L37_NODE_102_length_14723_cov_79.236501_6,A1005,Esch_coli_L37,gb|BAA11236.1|ARO:3000206|emrK,non-mobile,11163,Cluster 8478
A1005_Esch_coli_L37_NODE_102_length_14723_cov_79.236501_7,A1005,Esch_coli_L37,gb|BAA11237.1|ARO:3000254|emrY,mobile,11086,Cluster 4243
A1005_Esch_coli_L37_NODE_111_length_12657_cov_164.389383_1,A1005,Esch_coli_L37,gb|BAA16344.1|ARO:3000491|acrD,non-mobile,8495,Cluster 954
A1005_Esch_coli_L37_NODE_113_length_12369_cov_156.580802_1,A1005,Esch_coli_L37,gb|AAC77293.1|ARO:3001214|mdtM,non-mobile,6527,Cluster 6465
A1005_Esch_coli_L37_NODE_127_length_10733_cov_98.964319_4,A1005,Esch_coli_L37,gb|BAB35162.1|ARO:3000676|H-NS,non-mobile,10192,Cluster 16560
A1005_Esch_coli_L37_NODE_138_length_8403_cov_466.450886_1,A1005,Esch_coli_L37,gb|ABK33456.1|ARO:3002639|APH(3'')-Ib,mobile,5276,Cluster 10164
A1005_Esch_coli_L37_NODE_138_length_8403_cov_466.450886_10,A1005,Esch_coli_L37,gb|AAL59753.1|ARO:3000412|sul2,mobile,6404,Cluster 9989
A1005_Esch_coli_L37_NODE_138_length_8403_cov_466.450886_11,A1005,Esch_coli_L37,gb|ABK33456.1|ARO:3002639|APH(3'')-Ib,mobile,5528,Cluster 11177
A1005_Esch_coli_L37_NODE_138_length_8403_cov_466.450886_2,A1005,Esch_coli_L37,gb|AAC23556.1|ARO:3002660|APH(6)-Id,mobile,6112,Cluster 11195
A1005_Esch_coli_L37_NODE_138_length_8403_cov_466.450886_5,A1005,Esch_coli_L37,gb|AAN06707.1|ARO:3000165|tet(A),mobile,8402,Cluster 7542
A1005_Esch_coli_L37_NODE_15_length_54660_cov_143.018442_3,A1005,Esch_coli_L37,gb|AAC73565.1|ARO:3004043|Ecol_acrA,non-mobile,7686,Cluster 7581
A1005_Esch_coli_L37_NODE_15_length_54660_cov_143.018442_4,A1005,Esch_coli_L37,gb|AAC73564.1|ARO:3000216|acrB,non-mobile,10858,Cluster 318
A1005_Esch_coli_L37_NODE_17_length_52805_cov_146.101118_15,A1005,Esch_coli_L37,gb|BAE77778.1|ARO:3000508|gadX,non-mobile,10824,Cluster 11055
A1005_Esch_coli_L37_NODE_17_length_52805_cov_146.101118_16,A1005,Esch_coli_L37,gb|ANK04027.1|ARO:3003838|gadW,non-mobile,10728,Cluster 12395
A1005_Esch_coli_L37_NODE_17_length_52805_cov_146.101118_17,A1005,Esch_coli_L37,gb|AAC76539.1|ARO:3000796|mdtF,non-mobile,13113,Cluster 953
A1005_Esch_coli_L37_NODE_17_length_52805_cov_146.101118_18,A1005,Esch_coli_L37,gb|BAE77781.1|ARO:3000795|mdtE,non-mobile,11157,Cluster 8671
A1005_Esch_coli_L37_NODE_193_length_3694_cov_65.272328_3,A1005,Esch_coli_L37,gb|CAA77936.1|ARO:3004039|Ecol_emrE,not known,3693,Cluster 18355
A1005_Esch_coli_L37_NODE_2_length_108912_cov_165.857299_93,A1005,Esch_coli_L37,gb|BAE77933.1|ARO:3000518|CRP,non-mobile,9275,Cluster 13944
A1005_Esch_coli_L37_NODE_20_length_47456_cov_181.540178_4,A1005,Esch_coli_L37,gb|BAE78082.1|ARO:3003550|mdtP,non-mobile,9688,Cluster 5006
A1005_Esch_coli_L37_NODE_20_length_47456_cov_181.540178_41,A1005,Esch_coli_L37,gb|BAE78116.1|ARO:3003576|eptA,non-mobile,11643,Cluster 3609
A1005_Esch_coli_L37_NODE_20_length_47456_cov_181.540178_5,A1005,Esch_coli_L37,gb|BAE78083.1|ARO:3003549|mdtO,non-mobile,11736,Cluster 2773
A1005_Esch_coli_L37_NODE_20_length_47456_cov_181.540178_6,A1005,Esch_coli_L37,gb|BAE78084.1|ARO:3003548|mdtN,non-mobile,11031,Cluster 9704
A1005_Esch_coli_L37_NODE_200_length_3264_cov_78.677470_1,A1005,Esch_coli_L37,gb|AAC74149.2|ARO:3001216|mdtH,mobile,3263,Cluster 21833
A1005_Esch_coli_L37_NODE_22_length_43866_cov_164.290635_9,A1005,Esch_coli_L37,gb|BAB38260.1|ARO:3000830|cpxA,non-mobile,11373,Cluster 5640
A1005_Esch_coli_L37_NODE_222_length_2622_cov_126.453058_1,A1005,Esch_coli_L37,gb|AFH35853.1|ARO:3001328|Ecol_mdfA,not known,2621,Cluster 6590
A1005_Esch_coli_L37_NODE_236_length_2014_cov_6.582950_1,A1005,Esch_coli_L37,gb|AAC75089.1|ARO:3003577|ugd,not known,2013,Cluster 8116
A1005_Esch_coli_L37_NODE_276_length_1287_cov_55.344968_1,A1005,Esch_coli_L37,gb|AAC75135.2|ARO:3000792|mdtA,not known,1286,Cluster 5904
A1005_Esch_coli_L37_NODE_276_length_1287_cov_55.344968_2,A1005,Esch_coli_L37,gb|AAC75136.1|ARO:3000793|mdtB,not known,1286,Cluster 577
A1005_Esch_coli_L37_NODE_3_length_105742_cov_132.849442_90,A1005,Esch_coli_L37,gb|AAC74000.1|ARO:3003950|msbA,mobile,11748,Cluster 3328
A1005_Esch_coli_L37_NODE_317_length_781_cov_56.706612_1,A1005,Esch_coli_L37,gb|AAC75271.1|ARO:3003952|YojI,not known,780,Cluster 3694
A1005_Esch_coli_L37_NODE_333_length_676_cov_424.017713_1,A1005,Esch_coli_L37,gb|AHK10285.1|ARO:3002859|dfrA14,not known,675,Cluster 16327
A1005_Esch_coli_L37_NODE_34_length_34194_cov_144.014295_5,A1005,Esch_coli_L37,gb|AAC75733.1|ARO:3000074|emrB,non-mobile,10635,Cluster 4245
A1005_Esch_coli_L37_NODE_34_length_34194_cov_144.014295_6,A1005,Esch_coli_L37,gb|BAA16547.1|ARO:3000027|emrA,non-mobile,11172,Cluster 7893
A1005_Esch_coli_L37_NODE_34_length_34194_cov_144.014295_7,A1005,Esch_coli_L37,gb|AAC75731.1|ARO:3000516|emrR,non-mobile,10530,Cluster 15398
A1005_Esch_coli_L37_NODE_358_length_568_cov_59.697856_1,A1005,Esch_coli_L37,gb|AAC75271.1|ARO:3003952|YojI,not known,567,Cluster 3694
A1005_Esch_coli_L37_NODE_394_length_411_cov_9.620787_1,A1005,Esch_coli_L37,gb|AAC75135.2|ARO:3000792|mdtA,not known,410,Cluster 5904
A1005_Esch_coli_L37_NODE_42_length_28152_cov_142.453714_30,A1005,Esch_coli_L37,gb|AAC74149.2|ARO:3001216|mdtH,non-mobile,6006,Cluster 10032
A1005_Esch_coli_L37_NODE_45_length_27257_cov_159.871370_8,A1005,Esch_coli_L37,gb|ACN32294.1|ARO:3000237|TolC,mobile,11481,Cluster 4754
A1005_Esch_coli_L37_NODE_56_length_24349_cov_93.388738_25,A1005,Esch_coli_L37,gb|BAA15221.2|ARO:3000263|marA,non-mobile,7020,Cluster 18692
A1005_Esch_coli_L37_NODE_6_length_74276_cov_159.535670_61,A1005,Esch_coli_L37,gb|AAC76093.1|ARO:3002986|bacA,mobile,10821,Cluster 11439
A1005_Esch_coli_L37_NODE_61_length_22467_cov_116.879752_2,A1005,Esch_coli_L37,gb|AAC75314.1|ARO:3003578|PmrF,non-mobile,6695,Cluster 10235
A1005_Esch_coli_L37_NODE_628_length_108_cov_112.490566_1,A1005,Esch_coli_L37,gb|ABK33456.1|ARO:3002639|APH(3'')-Ib,not known,107,Cluster 10164
A1005_Esch_coli_L37_NODE_64_length_21925_cov_139.356699_5,A1005,Esch_coli_L37,gb|AAC73788.1|ARO:3003841|kdpE,non-mobile,10677,Cluster 13202
A1005_Esch_coli_L37_NODE_68_length_21009_cov_152.647275_10,A1005,Esch_coli_L37,gb|AAC76296.1|ARO:3000656|AcrS,mobile,10662,Cluster 13490
